mc_run_id,sex,diet_group, mean_ghgs   , mean_land   , mean_watscar, mean_eut    , mean_watuse 
2,female,meat50,  4.856938922,  7.42436214 , 16039.43264 , 25.44342239 ,  811.9320976
2,female,meat50,  4.945881155,  7.583968546, 16370.14534 , 25.7193075  ,  806.1328904
2,female,meat50,  5.07343034 ,  7.66739727 , 17268.27022 , 26.40594632 ,  847.3433802
2,female,meat50,  5.186166976,  7.929697738, 17789.17496 , 26.95661601 ,  848.1326209
2,female,meat50,  5.074112164,  7.752370733, 18588.44947 , 26.41293128 ,  842.3813509
2,male,meat50,  5.02347507 ,  8.104087029, 15299.58114 , 26.55531131 ,  805.7303323
2,male,meat50,  5.194762053,  8.023165798, 16918.07815 , 27.67085245 ,  875.3927365
2,male,meat50,  5.11783725 ,  7.772082037, 16566.00469 , 26.48157356 ,  809.453833 
2,male,meat50,  5.254956649,  8.063507339, 17018.06925 , 26.71020769 ,  832.6655298
2,male,meat50,  5.163977553,  8.030196556, 17738.59598 , 26.96692206 ,  863.3030637
2,male,meat50,  5.361578243,  8.331732123, 18695.90667 , 27.5968669  ,  843.4946075
2,female,meat100,  8.274415637, 12.68647363 , 23401.55326 , 42.42655479 , 1118.797934 
2,female,meat100,  8.291450417, 12.94718875 , 24153.64631 , 42.56446235 , 1109.796795 
2,female,meat100,  8.594136798, 13.84039035 , 25236.88755 , 43.77157021 , 1103.887755 
